industry_type,primary_hotspot_key,production_volume_units,grid_electricity_kwh,renewable_electricity_kwh,renewable_energy_ratio,fossil_fuel_burn_mj,raw_material_kg,virgin_material_percentage,waste_generated_kg,waste_landfill_percentage,transport_tkm,primary_hotspot_share_pct,scope1_share_pct,scope2_share_pct,scope3_share_pct,target_intervention_category
general,transport,569209.0,314662.7,78706.0,0.2001,834344.6,290933.5,67.27,24126.3,58.45,205514.7,32.44,54.81,21.36,23.83,Transportation Optimization
chemical,raw_materials,843588.6,334128.8,144979.1,0.3026,380843.0,465378.9,84.86,46776.5,82.69,35896.4,40.25,29.02,23.76,47.22,Recycled Materials
chemical,natural_gas,916403.6,858136.5,137578.0,0.1382,1319588.2,511990.8,60.11,20014.9,59.17,21171.7,51.44,39.44,34.45,26.11,Process Changes
food_processing,waste,1316347.8,724768.7,57255.2,0.0732,137851.1,453250.6,62.15,244210.0,75.89,37605.1,43.13,20.53,20.99,58.48,Waste-to-Value
textile,coal,958533.0,992654.1,155466.9,0.1354,560213.6,460419.6,75.34,23127.9,60.26,23298.3,46.19,45.93,44.07,10.0,Process Changes
general,coal,1829756.7,725668.0,127586.2,0.1495,891753.1,535507.1,83.4,58161.3,72.61,37965.6,41.8,49.84,38.92,11.24,Process Changes
chemical,waste,670162.2,262437.9,60799.4,0.1881,413529.6,337318.4,66.83,117498.2,89.08,28150.0,48.17,28.42,30.11,41.47,Waste-to-Value
metal_engineering,electricity,928998.1,1809334.0,25091.0,0.0137,260656.8,248593.0,62.82,23610.1,64.91,42800.4,65.03,11.44,50.07,38.49,Renewable Energy Substitution
metal_engineering,raw_materials,1694847.5,616369.1,90554.2,0.1281,138129.7,611126.4,87.54,56338.0,67.5,36034.1,48.16,24.21,17.3,58.49,Alternative Materials
general,coal,579645.3,534303.1,31449.9,0.0556,580648.1,239348.6,60.83,42628.0,54.42,27219.3,46.5,39.09,38.75,22.16,Process Changes
metal_engineering,raw_materials,3384560.5,248140.2,88186.5,0.2622,193638.9,1184140.8,86.57,35914.2,79.08,54620.3,55.98,13.87,17.56,68.57,Alternative Materials
food_processing,electricity,597699.9,930242.5,156650.0,0.1441,1342437.5,301655.7,71.97,28375.9,53.76,51125.0,49.67,49.49,34.3,16.21,Process Changes
